47.245.95.160,1443,SG,Alibaba
3.1.116.161,8443,SG,Amazon.com
5.223.49.4,2053,SG,Hetzner Online
5.34.176.119,81,SG,Green Floid
51.79.158.126,443,SG,OVH Hosting
51.79.158.58,2053,SG,OVH Hosting
51.79.158.58,8443,SG,OVH Hosting
43.156.116.194,443,SG,Tencent cloud computing
43.156.181.203,443,SG,Tencent cloud computing
43.156.253.94,443,SG,Tencent cloud computing
51.79.254.182,443,SG,OVH Hosting
54.169.229.188,443,SG,Amazon.com
45.76.183.217,49292,SG,Vultr
47.236.119.190,51342,SG,Alibaba
64.49.14.41,2053,SG,Latitude-sh
64.49.14.41,8443,SG,Latitude-sh
68.183.179.5,8443,SG,Digital Ocean
68.183.179.5,2053,SG,Digital Ocean
8.219.14.21,23943,SG,Alibaba
8.219.237.57,31523,SG,Alibaba
8.219.59.132,48130,SG,Alibaba
8.219.59.132,48964,SG,Alibaba
8.219.59.208,11178,SG,Alibaba
8.219.77.72,5027,SG,Alibaba
8.222.129.175,58808,SG,Alibaba
138.2.81.243,45319,SG,Oracle Cloud
8.222.165.104,443,SG,Alibaba
8.222.220.81,25435,SG,Alibaba
8.222.243.73,26385,SG,Alibaba
83.142.30.4,2096,SG,Streamline Servers
83.142.30.5,2096,SG,Streamline Servers
91.192.81.154,8443,SG,Melbikomas UAB
97.74.82.87,45837,SG,GoDaddy.com, LLC
8.222.178.214,6666,SG,Alibaba
209.97.172.173,443,SG,Digital Ocean
128.1.79.171,587,TH,Ucloud Information Technology Hk
171.103.14.137,32700,TH,True Internet
171.103.164.62,30921,TH,True Online
171.103.13.77,25645,TH,True Online
43.229.149.251,2053,TH,Siamdata Communication Co.
171.103.13.77,30157,TH,True Online
171.103.16.153,10252,TH,True Online
171.103.232.58,20475,TH,True Online
212.80.213.45,31244,TH,Siamdata Communication Co.
8.213.224.55,587,TH,Alibaba
45.144.167.46,19816,TH,Siamdata Communication Co.
43.229.149.251,8443,TH,Siamdata Communication Co.
103.137.63.205,31564,TW,Pittqiao Network Information Co.,Ltd.
